Page,Address,Value
0,0x007c,0x1a,
0,0x007d,0x02,
0,0x007e,0x2d,
0,0x007f,0x01,
0,0x0080,0xd8,
0,0x0081,0x01,
0,0x0082,0xe6,
0,0x0083,0x01,
0,0x0084,0xec,
0,0x0085,0x02,
0,0x0086,0x02,
0,0x0087,0x01,
0,0x0088,0xa7,
0,0x0089,0x01,
0,0x008a,0xb8,
0,0x008b,0x01,
0,0x008c,0xbd,
0,0x008d,0x01,
0,0x008e,0xd0,
0,0x008f,0x01,
0,0x0090,0x75,
0,0x0091,0x01,
0,0x0092,0x84,
0,0x0093,0x01,
0,0x0094,0x82,
0,0x0095,0x01,
0,0x0096,0x9b,
0,0x0097,0x01,
0,0x0098,0x3b,
0,0x0099,0x01,
0,0x009a,0x4a,
0,0x009b,0x01,
0,0x009c,0x50,
0,0x009d,0x01,
0,0x009e,0x69,
0,0x009f,0x01,
0,0x00a0,0x4f,
0,0x00a1,0x01,
0,0x00a2,0x5e,
0,0x00a3,0x01,
0,0x00a4,0x5e,
0,0x00a5,0x01,
0,0x00a6,0x71,
0,0x00a7,0x01,
0,0x00a8,0x89,
0,0x00a9,0x01,
0,0x00aa,0x9f,
0,0x00ab,0x01,
0,0x00ac,0x9f,
0,0x00ad,0x01,
0,0x00ae,0xad,
0,0x00af,0x01,
0,0x00b0,0xcf,
0,0x00b1,0x01,
0,0x00b2,0xda,
0,0x00b3,0x01,
0,0x00b4,0xdf,
0,0x00b5,0x01,
0,0x00b6,0xf0,
0,0x00b7,0x02,
0,0x00b8,0x0d,
0,0x00b9,0x02,
0,0x00ba,0x15,
0,0x00bb,0x02,
0,0x00bc,0x20,
0,0x00bd,0x02,
0,0x00be,0x2d,
0,0x00bf,0x02,
0,0x00c0,0x4a,
0,0x00c1,0x02,
0,0x00c2,0x50,
0,0x00c3,0x02,
0,0x00c4,0x56,
0,0x00c5,0x02,
0,0x00c6,0x69,
0,0x00c7,0x02,
0,0x00c8,0x87,
0,0x00c9,0x02,
0,0x00ca,0x86,
0,0x00cb,0x02,
0,0x00cc,0x8b,
0,0x00cd,0x02,
0,0x00ce,0x96,
0,0x00cf,0x02,
0,0x00d0,0xb3,
0,0x00d1,0x02,
0,0x00d2,0xb1,
0,0x00d3,0x02,
0,0x00d4,0xb1,
0,0x00d5,0x02,
0,0x00d6,0xc3,
0,0x00d7,0x02,
0,0x00d8,0xd6,
0,0x00d9,0x02,
0,0x00da,0xcc,
0,0x00db,0x02,
0,0x00dc,0xcc,
0,0x00dd,0x02,
0,0x00de,0xe1,
0,0x00df,0x02,
0,0x00e0,0xde,
0,0x00e1,0x02,
0,0x00e2,0xd7,
0,0x00e3,0x02,
0,0x00e4,0xd7,
0,0x00e5,0x02,
0,0x00e6,0xe9,
0,0x00e7,0x02,
0,0x00e8,0xd6,
0,0x00e9,0x02,
0,0x00ea,0xcc,
0,0x00eb,0x02,
0,0x00ec,0xcc,
0,0x00ed,0x02,
0,0x00ee,0xe1,
0,0x00ef,0x02,
0,0x00f0,0xbb,
0,0x00f1,0x02,
0,0x00f2,0xb1,
0,0x00f3,0x02,
0,0x00f4,0xb1,
0,0x00f5,0x02,
0,0x00f6,0xc3,
0,0x00f7,0x02,
0,0x00f8,0x90,
0,0x00f9,0x02,
0,0x00fa,0x86,
0,0x00fb,0x02,
0,0x00fc,0x8b,
0,0x00fd,0x02,
0,0x00fe,0x9d,
0,0x00ff,0x02,
0,0x0100,0x5b,
0,0x0101,0x02,
0,0x0102,0x56,
0,0x0103,0x02,
0,0x0104,0x5b,
0,0x0105,0x02,
0,0x0106,0x69,
0,0x0107,0x02,
0,0x0108,0x1e,
0,0x0109,0x02,
0,0x010a,0x20,
0,0x010b,0x02,
0,0x010c,0x25,
0,0x010d,0x02,
0,0x010e,0x34,
0,0x010f,0x01,
0,0x0110,0xe1,
0,0x0111,0x01,
0,0x0112,0xea,
0,0x0113,0x01,
0,0x0114,0xef,
0,0x0115,0x01,
0,0x0116,0xf8,
0,0x0117,0x01,
0,0x0118,0xa4,
0,0x0119,0x01,
0,0x011a,0xaf,
0,0x011b,0x01,
0,0x011c,0xb4,
0,0x011d,0x01,
0,0x011e,0xc3,
0,0x011f,0x01,
0,0x0120,0x5e,
0,0x0121,0x01,
0,0x0122,0x75,
0,0x0123,0x01,
0,0x0124,0x74,
0,0x0125,0x01,
0,0x0126,0x87,
0,0x0127,0x01,
0,0x0128,0x6f,
0,0x0129,0x01,
0,0x012a,0x84,
0,0x012b,0x01,
0,0x012c,0x82,
0,0x012d,0x01,
0,0x012e,0x94,
0,0x012f,0x01,
0,0x0130,0xb5,
0,0x0131,0x01,
0,0x0132,0xc4,
0,0x0133,0x01,
0,0x0134,0xca,
0,0x0135,0x01,
0,0x0136,0xda,
0,0x0137,0x02,
0,0x0138,0x04,
0,0x0139,0x02,
0,0x013a,0x0a,
0,0x013b,0x02,
0,0x013c,0x10,
0,0x013d,0x02,
0,0x013e,0x1e,
0,0x013f,0x02,
0,0x0140,0x4a,
0,0x0141,0x02,
0,0x0142,0x50,
0,0x0143,0x02,
0,0x0144,0x5b,
0,0x0145,0x02,
0,0x0146,0x69,
0,0x0147,0x02,
0,0x0148,0x99,
0,0x0149,0x02,
0,0x014a,0x96,
0,0x014b,0x02,
0,0x014c,0x9c,
0,0x014d,0x02,
0,0x014e,0xa5,
0,0x014f,0x02,
0,0x0150,0xd6,
0,0x0151,0x02,
0,0x0152,0xd1,
0,0x0153,0x02,
0,0x0154,0xd7,
0,0x0155,0x02,
0,0x0156,0xe9,
0,0x0157,0x03,
0,0x0158,0x0a,
0,0x0159,0x03,
0,0x015a,0x07,
0,0x015b,0x03,
0,0x015c,0x07,
0,0x015d,0x03,
0,0x015e,0x16,
0,0x015f,0x03,
0,0x0160,0x2d,
0,0x0161,0x03,
0,0x0162,0x28,
0,0x0163,0x03,
0,0x0164,0x28,
0,0x0165,0x03,
0,0x0166,0x34,
0,0x0167,0x03,
0,0x0168,0x3f,
0,0x0169,0x03,
0,0x016a,0x32,
0,0x016b,0x03,
0,0x016c,0x32,
0,0x016d,0x03,
0,0x016e,0x43,
0,0x016f,0x03,
0,0x0170,0x36,
0,0x0171,0x03,
0,0x0172,0x28,
0,0x0173,0x03,
0,0x0174,0x28,
0,0x0175,0x03,
0,0x0176,0x34,
0,0x0177,0x03,
0,0x0178,0x13,
0,0x0179,0x03,
0,0x017a,0x07,
0,0x017b,0x03,
0,0x017c,0x07,
0,0x017d,0x03,
0,0x017e,0x16,
0,0x017f,0x02,
0,0x0180,0xde,
0,0x0181,0x02,
0,0x0182,0xd1,
0,0x0183,0x02,
0,0x0184,0xd7,
0,0x0185,0x02,
0,0x0186,0xe9,
0,0x0187,0x02,
0,0x0188,0xa1,
0,0x0189,0x02,
0,0x018a,0x96,
0,0x018b,0x02,
0,0x018c,0xa1,
0,0x018d,0x02,
0,0x018e,0xad,
0,0x018f,0x02,
0,0x0190,0x5b,
0,0x0191,0x02,
0,0x0192,0x56,
0,0x0193,0x02,
0,0x0194,0x60,
0,0x0195,0x02,
0,0x0196,0x69,
0,0x0197,0x02,
0,0x0198,0x1e,
0,0x0199,0x02,
0,0x019a,0x1a,
0,0x019b,0x02,
0,0x019c,0x25,
0,0x019d,0x02,
0,0x019e,0x2d,
0,0x019f,0x01,
0,0x01a0,0xcf,
0,0x01a1,0x01,
0,0x01a2,0xda,
0,0x01a3,0x01,
0,0x01a4,0xdf,
0,0x01a5,0x01,
0,0x01a6,0xf0,
0,0x01a7,0x01,
0,0x01a8,0x89,
0,0x01a9,0x01,
0,0x01aa,0x99,
0,0x01ab,0x01,
0,0x01ac,0x9f,
0,0x01ad,0x01,
0,0x01ae,0xaa,
0,0x01af,0x01,
0,0x01b0,0x8f,
0,0x01b1,0x01,
0,0x01b2,0xa2,
0,0x01b3,0x01,
0,0x01b4,0xa0,
0,0x01b5,0x01,
0,0x01b6,0xb9,
0,0x01b7,0x01,
0,0x01b8,0xe1,
0,0x01b9,0x01,
0,0x01ba,0xea,
0,0x01bb,0x01,
0,0x01bc,0xef,
0,0x01bd,0x02,
0,0x01be,0x00,
0,0x01bf,0x02,
0,0x01c0,0x30,
0,0x01c1,0x02,
0,0x01c2,0x35,
0,0x01c3,0x02,
0,0x01c4,0x40,
0,0x01c5,0x02,
0,0x01c6,0x4b,
0,0x01c7,0x02,
0,0x01c8,0x87,
0,0x01c9,0x02,
0,0x01ca,0x86,
0,0x01cb,0x02,
0,0x01cc,0x91,
0,0x01cd,0x02,
0,0x01ce,0x9d,
0,0x01cf,0x02,
0,0x01d0,0xd6,
0,0x01d1,0x02,
0,0x01d2,0xd1,
0,0x01d3,0x02,
0,0x01d4,0xdc,
0,0x01d5,0x02,
0,0x01d6,0xe9,
0,0x01d7,0x03,
0,0x01d8,0x24,
0,0x01d9,0x03,
0,0x01da,0x1d,
0,0x01db,0x03,
0,0x01dc,0x22,
0,0x01dd,0x03,
0,0x01de,0x2c,
0,0x01df,0x03,
0,0x01e0,0x59,
0,0x01e1,0x03,
0,0x01e2,0x58,
0,0x01e3,0x03,
0,0x01e4,0x58,
0,0x01e5,0x03,
0,0x01e6,0x69,
0,0x01e7,0x03,
0,0x01e8,0x85,
0,0x01e9,0x03,
0,0x01ea,0x78,
0,0x01eb,0x03,
0,0x01ec,0x7e,
0,0x01ed,0x03,
0,0x01ee,0x87,
0,0x01ef,0x03,
0,0x01f0,0x8d,
0,0x01f1,0x03,
0,0x01f2,0x89,
0,0x01f3,0x03,
0,0x01f4,0x89,
0,0x01f5,0x03,
0,0x01f6,0x96,
0,0x01f7,0x03,
0,0x01f8,0x85,
0,0x01f9,0x03,
0,0x01fa,0x78,
0,0x01fb,0x03,
0,0x01fc,0x7e,
0,0x01fd,0x03,
0,0x01fe,0x87,
0,0x01ff,0x03,
0,0x0200,0x62,
0,0x0201,0x03,
0,0x0202,0x53,
0,0x0203,0x03,
0,0x0204,0x58,
0,0x0205,0x03,
0,0x0206,0x61,
0,0x0207,0x03,
0,0x0208,0x2d,
0,0x0209,0x03,
0,0x020a,0x17,
0,0x020b,0x03,
0,0x020c,0x22,
0,0x020d,0x03,
0,0x020e,0x2c,
0,0x020f,0x02,
0,0x0210,0xe7,
0,0x0211,0x02,
0,0x0212,0xd1,
0,0x0213,0x02,
0,0x0214,0xdc,
0,0x0215,0x02,
0,0x0216,0xe9,
0,0x0217,0x02,
0,0x0218,0x99,
0,0x0219,0x02,
0,0x021a,0x8b,
0,0x021b,0x02,
0,0x021c,0x96,
0,0x021d,0x02,
0,0x021e,0x9d,
0,0x021f,0x02,
0,0x0220,0x4a,
0,0x0221,0x02,
0,0x0222,0x45,
0,0x0223,0x02,
0,0x0224,0x50,
0,0x0225,0x02,
0,0x0226,0x5a,
0,0x0227,0x01,
0,0x0228,0xfb,
0,0x0229,0x02,
0,0x022a,0x00,
0,0x022b,0x02,
0,0x022c,0x05,
0,0x022d,0x02,
0,0x022e,0x16,
0,0x022f,0x01,
0,0x0230,0xaa,
0,0x0231,0x01,
0,0x0232,0xbf,
0,0x0233,0x01,
0,0x0234,0xbd,
0,0x0235,0x01,
0,0x0236,0xd0,
0,0x0237,0x01,
0,0x0238,0xa7,
0,0x0239,0x01,
0,0x023a,0xbb,
0,0x023b,0x01,
0,0x023c,0xba,
0,0x023d,0x01,
0,0x023e,0xcd,
0,0x023f,0x02,
0,0x0240,0x04,
0,0x0241,0x02,
0,0x0242,0x0a,
0,0x0243,0x02,
0,0x0244,0x10,
0,0x0245,0x02,
0,0x0246,0x1e,
0,0x0247,0x02,
0,0x0248,0x5b,
0,0x0249,0x02,
0,0x024a,0x5b,
0,0x024b,0x02,
0,0x024c,0x60,
0,0x024d,0x02,
0,0x024e,0x70,
0,0x024f,0x02,
0,0x0250,0xb3,
0,0x0251,0x02,
0,0x0252,0xac,
0,0x0253,0x02,
0,0x0254,0xb7,
0,0x0255,0x02,
0,0x0256,0xc3,
0,0x0257,0x03,
0,0x0258,0x0a,
0,0x0259,0x03,
0,0x025a,0x02,
0,0x025b,0x03,
0,0x025c,0x0d,
0,0x025d,0x03,
0,0x025e,0x16,
0,0x025f,0x03,
0,0x0260,0x59,
0,0x0261,0x03,
0,0x0262,0x53,
0,0x0263,0x03,
0,0x0264,0x5d,
0,0x0265,0x03,
0,0x0266,0x69,
0,0x0267,0x03,
0,0x0268,0x96,
0,0x0269,0x03,
0,0x026a,0x93,
0,0x026b,0x03,
0,0x026c,0x99,
0,0x026d,0x03,
0,0x026e,0xa5,
0,0x026f,0x03,
0,0x0270,0xc2,
0,0x0271,0x03,
0,0x0272,0xbe,
0,0x0273,0x03,
0,0x0274,0xbe,
0,0x0275,0x03,
0,0x0276,0xca,
0,0x0277,0x03,
0,0x0278,0xcb,
0,0x0279,0x03,
0,0x027a,0xc9,
0,0x027b,0x03,
0,0x027c,0xc9,
0,0x027d,0x03,
0,0x027e,0xd2,
0,0x027f,0x03,
0,0x0280,0xc2,
0,0x0281,0x03,
0,0x0282,0xbe,
0,0x0283,0x03,
0,0x0284,0xbe,
0,0x0285,0x03,
0,0x0286,0xca,
0,0x0287,0x03,
0,0x0288,0xa8,
0,0x0289,0x03,
0,0x028a,0x93,
0,0x028b,0x03,
0,0x028c,0x99,
0,0x028d,0x03,
0,0x028e,0xa5,
0,0x028f,0x03,
0,0x0290,0x6a,
0,0x0291,0x03,
0,0x0292,0x53,
0,0x0293,0x03,
0,0x0294,0x5d,
0,0x0295,0x03,
0,0x0296,0x69,
0,0x0297,0x03,
0,0x0298,0x24,
0,0x0299,0x03,
0,0x029a,0x02,
0,0x029b,0x03,
0,0x029c,0x12,
0,0x029d,0x03,
0,0x029e,0x1d,
0,0x029f,0x02,
0,0x02a0,0xcd,
0,0x02a1,0x02,
0,0x02a2,0xb1,
0,0x02a3,0x02,
0,0x02a4,0xc1,
0,0x02a5,0x02,
0,0x02a6,0xcb,
0,0x02a7,0x02,
0,0x02a8,0x76,
0,0x02a9,0x02,
0,0x02aa,0x66,
0,0x02ab,0x02,
0,0x02ac,0x76,
0,0x02ad,0x02,
0,0x02ae,0x7f,
0,0x02af,0x02,
0,0x02b0,0x1e,
0,0x02b1,0x02,
0,0x02b2,0x1a,
0,0x02b3,0x02,
0,0x02b4,0x25,
0,0x02b5,0x02,
0,0x02b6,0x34,
0,0x02b7,0x01,
0,0x02b8,0xcc,
0,0x02b9,0x01,
0,0x02ba,0xda,
0,0x02bb,0x01,
0,0x02bc,0xdd,
0,0x02bd,0x01,
0,0x02be,0xee,
0,0x02bf,0x01,
0,0x02c0,0xc4,
0,0x02c1,0x01,
0,0x02c2,0xcb,
0,0x02c3,0x01,
0,0x02c4,0xcf,
0,0x02c5,0x01,
0,0x02c6,0xdc,
0,0x02c7,0x02,
0,0x02c8,0x15,
0,0x02c9,0x02,
0,0x02ca,0x1a,
0,0x02cb,0x02,
0,0x02cc,0x25,
0,0x02cd,0x02,
0,0x02ce,0x2d,
0,0x02cf,0x02,
0,0x02d0,0x76,
0,0x02d1,0x02,
0,0x02d2,0x71,
0,0x02d3,0x02,
0,0x02d4,0x76,
0,0x02d5,0x02,
0,0x02d6,0x87,
0,0x02d7,0x02,
0,0x02d8,0xd6,
0,0x02d9,0x02,
0,0x02da,0xc7,
0,0x02db,0x02,
0,0x02dc,0xd7,
0,0x02dd,0x02,
0,0x02de,0xe1,
0,0x02df,0x03,
0,0x02e0,0x36,
0,0x02e1,0x03,
0,0x02e2,0x28,
0,0x02e3,0x03,
0,0x02e4,0x32,
0,0x02e5,0x03,
0,0x02e6,0x3b,
0,0x02e7,0x03,
0,0x02e8,0x85,
0,0x02e9,0x03,
0,0x02ea,0x78,
0,0x02eb,0x03,
0,0x02ec,0x83,
0,0x02ed,0x03,
0,0x02ee,0x8e,
0,0x02ef,0x03,
0,0x02f0,0xc2,
0,0x02f1,0x03,
0,0x02f2,0xbe,
0,0x02f3,0x03,
0,0x02f4,0xc4,
0,0x02f5,0x03,
0,0x02f6,0xca,
0,0x02f7,0x03,
0,0x02f8,0xe5,
0,0x02f9,0x03,
0,0x02fa,0xe4,
0,0x02fb,0x03,
0,0x02fc,0xe4,
0,0x02fd,0x03,
0,0x02fe,0xf0,
0,0x02ff,0x03,
0,0x0300,0xf6,
0,0x0301,0x03,
0,0x0302,0xef,
0,0x0303,0x03,
0,0x0304,0xef,
0,0x0305,0x03,
0,0x0306,0xf7,
0,0x0307,0x03,
0,0x0308,0xee,
0,0x0309,0x03,
0,0x030a,0xe4,
0,0x030b,0x03,
0,0x030c,0xe4,
0,0x030d,0x03,
0,0x030e,0xe8,
0,0x030f,0x03,
0,0x0310,0xcb,
0,0x0311,0x03,
0,0x0312,0xbe,
0,0x0313,0x03,
0,0x0314,0xbe,
0,0x0315,0x03,
0,0x0316,0xca,
0,0x0317,0x03,
0,0x0318,0x96,
0,0x0319,0x03,
0,0x031a,0x78,
0,0x031b,0x03,
0,0x031c,0x83,
0,0x031d,0x03,
0,0x031e,0x8e,
0,0x031f,0x03,
0,0x0320,0x47,
0,0x0321,0x03,
0,0x0322,0x28,
0,0x0323,0x03,
0,0x0324,0x32,
0,0x0325,0x03,
0,0x0326,0x3b,
0,0x0327,0x02,
0,0x0328,0xf0,
0,0x0329,0x02,
0,0x032a,0xd1,
0,0x032b,0x02,
0,0x032c,0xdc,
0,0x032d,0x02,
0,0x032e,0xe9,
0,0x032f,0x02,
0,0x0330,0x90,
0,0x0331,0x02,
0,0x0332,0x7b,
0,0x0333,0x02,
0,0x0334,0x86,
0,0x0335,0x02,
0,0x0336,0x8e,
0,0x0337,0x02,
0,0x0338,0x30,
0,0x0339,0x02,
0,0x033a,0x30,
0,0x033b,0x02,
0,0x033c,0x35,
0,0x033d,0x02,
0,0x033e,0x43,
0,0x033f,0x01,
0,0x0340,0xea,
0,0x0341,0x01,
0,0x0342,0xef,
0,0x0343,0x01,
0,0x0344,0xee,
0,0x0345,0x01,
0,0x0346,0xfd,
0,0x0347,0x01,
0,0x0348,0xc1,
0,0x0349,0x01,
0,0x034a,0xd6,
0,0x034b,0x01,
0,0x034c,0xd4,
0,0x034d,0x01,
0,0x034e,0xe4,
0,0x034f,0x02,
0,0x0350,0x1e,
0,0x0351,0x02,
0,0x0352,0x25,
0,0x0353,0x02,
0,0x0354,0x2b,
0,0x0355,0x02,
0,0x0356,0x34,
0,0x0357,0x02,
0,0x0358,0x7e,
0,0x0359,0x02,
0,0x035a,0x7b,
0,0x035b,0x02,
0,0x035c,0x81,
0,0x035d,0x02,
0,0x035e,0x8e,
0,0x035f,0x02,
0,0x0360,0xe7,
0,0x0361,0x02,
0,0x0362,0xd7,
0,0x0363,0x02,
0,0x0364,0xe2,
0,0x0365,0x02,
0,0x0366,0xe9,
0,0x0367,0x03,
0,0x0368,0x47,
0,0x0369,0x03,
0,0x036a,0x32,
0,0x036b,0x03,
0,0x036c,0x3d,
0,0x036d,0x03,
0,0x036e,0x43,
0,0x036f,0x03,
0,0x0370,0x96,
0,0x0371,0x03,
0,0x0372,0x89,
0,0x0373,0x03,
0,0x0374,0x8e,
0,0x0375,0x03,
0,0x0376,0x96,
0,0x0377,0x03,
0,0x0378,0xd3,
0,0x0379,0x03,
0,0x037a,0xcf,
0,0x037b,0x03,
0,0x037c,0xcf,
0,0x037d,0x03,
0,0x037e,0xd2,
0,0x037f,0x03,
0,0x0380,0xf6,
0,0x0381,0x03,
0,0x0382,0xf4,
0,0x0383,0x03,
0,0x0384,0xef,
0,0x0385,0x03,
0,0x0386,0xf7,
0,0x0387,0x03,
0,0x0388,0xff,
0,0x0389,0x03,
0,0x038a,0xff,
0,0x038b,0x03,
0,0x038c,0xff,
0,0x038d,0x03,
0,0x038e,0xff,
0,0x038f,0x03,
0,0x0390,0xff,
0,0x0391,0x03,
0,0x0392,0xf4,
0,0x0393,0x03,
0,0x0394,0xef,
0,0x0395,0x03,
0,0x0396,0xf7,
0,0x0397,0x03,
0,0x0398,0xdc,
0,0x0399,0x03,
0,0x039a,0xcf,
0,0x039b,0x03,
0,0x039c,0xc9,
0,0x039d,0x03,
0,0x039e,0xd2,
0,0x039f,0x03,
0,0x03a0,0xa8,
0,0x03a1,0x03,
0,0x03a2,0x89,
0,0x03a3,0x03,
0,0x03a4,0x8e,
0,0x03a5,0x03,
0,0x03a6,0x96,
0,0x03a7,0x03,
0,0x03a8,0x59,
0,0x03a9,0x03,
0,0x03aa,0x38,
0,0x03ab,0x03,
0,0x03ac,0x3d,
0,0x03ad,0x03,
0,0x03ae,0x4a,
0,0x03af,0x02,
0,0x03b0,0xf9,
0,0x03b1,0x02,
0,0x03b2,0xdc,
0,0x03b3,0x02,
0,0x03b4,0xe7,
0,0x03b5,0x02,
0,0x03b6,0xf0,
0,0x03b7,0x02,
0,0x03b8,0x99,
0,0x03b9,0x02,
0,0x03ba,0x86,
0,0x03bb,0x02,
0,0x03bc,0x91,
0,0x03bd,0x02,
0,0x03be,0x96,
0,0x03bf,0x02,
0,0x03c0,0x41,
0,0x03c1,0x02,
0,0x03c2,0x35,
0,0x03c3,0x02,
0,0x03c4,0x3b,
0,0x03c5,0x02,
0,0x03c6,0x4b,
0,0x03c7,0x01,
0,0x03c8,0xef,
0,0x03c9,0x01,
0,0x03ca,0xf5,
0,0x03cb,0x01,
0,0x03cc,0xf3,
0,0x03cd,0x02,
0,0x03ce,0x05,
0,0x03cf,0x01,
0,0x03d0,0xc1,
0,0x03d1,0x01,
0,0x03d2,0xd1,
0,0x03d3,0x01,
0,0x03d4,0xcf,
0,0x03d5,0x01,
0,0x03d6,0xe4,
0,0x03d7,0x02,
0,0x03d8,0x1e,
0,0x03d9,0x02,
0,0x03da,0x20,
0,0x03db,0x02,
0,0x03dc,0x25,
0,0x03dd,0x02,
0,0x03de,0x34,
0,0x03df,0x02,
0,0x03e0,0x7e,
0,0x03e1,0x02,
0,0x03e2,0x76,
0,0x03e3,0x02,
0,0x03e4,0x7b,
0,0x03e5,0x02,
0,0x03e6,0x87,
0,0x03e7,0x02,
0,0x03e8,0xde,
0,0x03e9,0x02,
0,0x03ea,0xd1,
0,0x03eb,0x02,
0,0x03ec,0xd7,
0,0x03ed,0x02,
0,0x03ee,0xe1,
0,0x03ef,0x03,
0,0x03f0,0x3f,
0,0x03f1,0x03,
0,0x03f2,0x2d,
0,0x03f3,0x03,
0,0x03f4,0x32,
0,0x03f5,0x03,
0,0x03f6,0x3b,
0,0x03f7,0x03,
0,0x03f8,0x8d,
0,0x03f9,0x03,
0,0x03fa,0x83,
0,0x03fb,0x03,
0,0x03fc,0x83,
0,0x03fd,0x03,
0,0x03fe,0x8e,
0,0x03ff,0x03,
0,0x0400,0xcb,
0,0x0401,0x03,
0,0x0402,0xc4,
0,0x0403,0x03,
0,0x0404,0xbe,
0,0x0405,0x03,
0,0x0406,0xca,
0,0x0407,0x03,
0,0x0408,0xee,
0,0x0409,0x03,
0,0x040a,0xe9,
0,0x040b,0x03,
0,0x040c,0xe4,
0,0x040d,0x03,
0,0x040e,0xe8,
0,0x040f,0x03,
0,0x0410,0xff,
0,0x0411,0x03,
0,0x0412,0xfa,
0,0x0413,0x03,
0,0x0414,0xef,
0,0x0415,0x03,
0,0x0416,0xf7,
0,0x0417,0x03,
0,0x0418,0xf6,
0,0x0419,0x03,
0,0x041a,0xef,
0,0x041b,0x03,
0,0x041c,0xe4,
0,0x041d,0x03,
0,0x041e,0xe8,
0,0x041f,0x03,
0,0x0420,0xd3,
0,0x0421,0x03,
0,0x0422,0xc4,
0,0x0423,0x03,
0,0x0424,0xbe,
0,0x0425,0x03,
0,0x0426,0xca,
0,0x0427,0x03,
0,0x0428,0x9f,
0,0x0429,0x03,
0,0x042a,0x83,
0,0x042b,0x03,
0,0x042c,0x7e,
0,0x042d,0x03,
0,0x042e,0x8e,
0,0x042f,0x03,
0,0x0430,0x50,
0,0x0431,0x03,
0,0x0432,0x2d,
0,0x0433,0x03,
0,0x0434,0x32,
0,0x0435,0x03,
0,0x0436,0x3b,
0,0x0437,0x02,
0,0x0438,0xf9,
0,0x0439,0x02,
0,0x043a,0xd7,
0,0x043b,0x02,
0,0x043c,0xdc,
0,0x043d,0x02,
0,0x043e,0xe9,
0,0x043f,0x02,
0,0x0440,0x99,
0,0x0441,0x02,
0,0x0442,0x81,
0,0x0443,0x02,
0,0x0444,0x86,
0,0x0445,0x02,
0,0x0446,0x96,
0,0x0447,0x02,
0,0x0448,0x38,
0,0x0449,0x02,
0,0x044a,0x35,
0,0x044b,0x02,
0,0x044c,0x35,
0,0x044d,0x02,
0,0x044e,0x43,
0,0x044f,0x01,
0,0x0450,0xe7,
0,0x0451,0x01,
0,0x0452,0xee,
0,0x0453,0x01,
0,0x0454,0xee,
0,0x0455,0x01,
